comparison,metric,noised_gold_score,behavior_score,noised_minus_behavior,observed_sign,expected_sign,sign_matches_expected
original_step50,BFCL_core_accuracy,0.7133333333333334,0.68,0.033333333333333326,1,1,True
original_step50,When2Call_behavior_accuracy,0.5666666666666667,0.6333333333333333,-0.06666666666666665,-1,-1,True
original_step50,When2Call_macro_F1,0.4765297500820921,0.5296360748883332,-0.05310632480624111,-1,-1,True
wave1_step50,BFCL_core_accuracy,0.72,0.68,0.039999999999999925,1,1,True
wave1_step50,When2Call_behavior_accuracy,0.5766666666666667,0.6266666666666667,-0.050000000000000044,-1,-1,True
wave1_step50,When2Call_macro_F1,0.482608100711549,0.5251989672225863,-0.04259086651103727,-1,-1,True
original_best,BFCL_core_accuracy,0.6933333333333334,0.66,0.033333333333333326,1,1,True
original_best,When2Call_behavior_accuracy,0.5766666666666667,0.64,-0.06333333333333335,-1,-1,True
original_best,When2Call_macro_F1,0.47945062669076555,0.5277754413117107,-0.04832481462094518,-1,-1,True
wave1_best,BFCL_core_accuracy,0.7,0.6633333333333333,0.036666666666666625,1,1,True
wave1_best,When2Call_behavior_accuracy,0.5833333333333334,0.6433333333333333,-0.05999999999999994,-1,-1,True
wave1_best,When2Call_macro_F1,0.4827712017714163,0.5335414899214983,-0.050770288150082,-1,-1,True
