run_id,checkpoint,source,slice,n,accuracy,baseline_accuracy,delta_vs_r004
r004,sft_best,baseline,sft_dev_direct_answer,93,0.9354838709677419,0.9354838709677419,0.0
r004,sft_best,baseline,bfcl_relevance_direct_answer,60,0.13333333333333333,0.13333333333333333,0.0
r004,sft_best,baseline,combined_existing_direct_answer,153,0.6209150326797386,0.6209150326797386,0.0
r028,step50,clean_noised_gold,sft_dev_direct_answer,93,0.9354838709677419,0.9354838709677419,0.0
r028,step50,clean_noised_gold,bfcl_relevance_direct_answer,60,0.1,0.13333333333333333,-0.033333333333333326
r028,step50,clean_noised_gold,combined_existing_direct_answer,153,0.6078431372549019,0.6209150326797386,-0.013071895424836666
r028,best,clean_noised_gold,sft_dev_direct_answer,93,0.978494623655914,0.9354838709677419,0.043010752688172116
r028,best,clean_noised_gold,bfcl_relevance_direct_answer,60,0.03333333333333333,0.13333333333333333,-0.1
r028,best,clean_noised_gold,combined_existing_direct_answer,153,0.6078431372549019,0.6209150326797386,-0.013071895424836666
r029,step50,clean_behavior,sft_dev_direct_answer,93,0.9354838709677419,0.9354838709677419,0.0
r029,step50,clean_behavior,bfcl_relevance_direct_answer,60,0.05,0.13333333333333333,-0.08333333333333333
r029,step50,clean_behavior,combined_existing_direct_answer,153,0.5882352941176471,0.6209150326797386,-0.0326797385620915
r029,best,clean_behavior,sft_dev_direct_answer,93,0.946236559139785,0.9354838709677419,0.010752688172043112
r029,best,clean_behavior,bfcl_relevance_direct_answer,60,0.03333333333333333,0.13333333333333333,-0.1
r029,best,clean_behavior,combined_existing_direct_answer,153,0.5882352941176471,0.6209150326797386,-0.0326797385620915
s5r002,step50,mixed_clean,sft_dev_direct_answer,93,0.9354838709677419,0.9354838709677419,0.0
s5r002,step50,mixed_clean,bfcl_relevance_direct_answer,60,0.08333333333333333,0.13333333333333333,-0.05
s5r002,step50,mixed_clean,combined_existing_direct_answer,153,0.6013071895424836,0.6209150326797386,-0.019607843137254943
s5r002,final,mixed_clean,sft_dev_direct_answer,93,0.956989247311828,0.9354838709677419,0.021505376344086113
s5r002,final,mixed_clean,bfcl_relevance_direct_answer,60,0.03333333333333333,0.13333333333333333,-0.1
s5r002,final,mixed_clean,combined_existing_direct_answer,153,0.5947712418300654,0.6209150326797386,-0.02614379084967322
s6r002,best,stage6_noised_gold,sft_dev_direct_answer,93,0.978494623655914,0.9354838709677419,0.043010752688172116
s6r002,best,stage6_noised_gold,bfcl_relevance_direct_answer,60,0.05,0.13333333333333333,-0.08333333333333333
s6r002,best,stage6_noised_gold,combined_existing_direct_answer,153,0.6143790849673203,0.6209150326797386,-0.006535947712418277
s6r003,best,stage6_noised_gold,sft_dev_direct_answer,93,0.978494623655914,0.9354838709677419,0.043010752688172116
s6r003,best,stage6_noised_gold,bfcl_relevance_direct_answer,60,0.03333333333333333,0.13333333333333333,-0.1
s6r003,best,stage6_noised_gold,combined_existing_direct_answer,153,0.6078431372549019,0.6209150326797386,-0.013071895424836666
s6r004,best,stage6_behavior,sft_dev_direct_answer,93,0.946236559139785,0.9354838709677419,0.010752688172043112
s6r004,best,stage6_behavior,bfcl_relevance_direct_answer,60,0.03333333333333333,0.13333333333333333,-0.1
s6r004,best,stage6_behavior,combined_existing_direct_answer,153,0.5882352941176471,0.6209150326797386,-0.0326797385620915
s6r005,best,stage6_behavior,sft_dev_direct_answer,93,0.946236559139785,0.9354838709677419,0.010752688172043112
s6r005,best,stage6_behavior,bfcl_relevance_direct_answer,60,0.03333333333333333,0.13333333333333333,-0.1
s6r005,best,stage6_behavior,combined_existing_direct_answer,153,0.5882352941176471,0.6209150326797386,-0.0326797385620915
